<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.04	10:00:00	1.86876	1.86933	1.86816	1.86867	2532	0	14
2025.03.04	10:15:00	1.86867	1.86910	1.86797	1.86807	2655	0	14
2025.03.04	10:30:00	1.86807	1.86892	1.86777	1.86878	2085	0	14
2025.03.04	10:45:00	1.86878	1.86941	1.86809	1.86814	2271	0	14
2025.03.04	11:00:00	1.86814	1.86883	1.86805	1.86859	2292	0	14
2025.03.04	11:15:00	1.86859	1.86926	1.86820	1.86895	2058	0	14
2025.03.04	11:30:00	1.86895	1.86951	1.86865	1.86906	2479	0	14
2025.03.04	11:45:00	1.86900	1.87100	1.86877	1.87078	3154	0	14
2025.03.04	12:00:00	1.87078	1.87100	1.86994	1.87016	3634	0	14
2025.03.04	12:15:00	1.87014	1.87061	1.86957	1.87020	2727	0	14
2025.03.04	12:30:00	1.87020	1.87027	1.86869	1.86953	3313	0	14
2025.03.04	12:45:00	1.86953	1.87148	1.86928	1.87142	2952	0	14
2025.03.04	13:00:00	1.87142	1.87265	1.87097	1.87227	2714	0	14
2025.03.04	13:15:00	1.87227	1.87235	1.87124	1.87132	3158	0	14
2025.03.04	13:30:00	1.87132	1.87183	1.87086	1.87179	3918	0	14
2025.03.04	13:45:00	1.87179	1.87309	1.87098	1.87156	3968	0	14
2025.03.04	14:00:00	1.87156	1.87265	1.87153	1.87215	4583	0	14
2025.03.04	14:15:00	1.87215	1.87228	1.87041	1.87147	3976	0	14
2025.03.04	14:30:00	1.87147	1.87409	1.87141	1.87391	4042	0	14
2025.03.04	14:45:00	1.87392	1.87408	1.87301	1.87377	4814	0	14
2025.03.04	15:00:00	1.87375	1.87390	1.87236	1.87242	4615	0	14
2025.03.04	15:15:00	1.87242	1.87306	1.87093	1.87238	5090	0	14
2025.03.04	15:30:00	1.87238	1.87251	1.87130	1.87213	4470	0	14
2025.03.04	15:45:00	1.87215	1.87376	1.87191	1.87340	4738	0	14
2025.03.04	16:00:00	1.87340	1.87429	1.87299	1.87417	4334	0	14
2025.03.04	16:15:00	1.87417	1.87543	1.87401	1.87508	3363	0	14
2025.03.04	16:30:00	1.87508	1.87543	1.87447	1.87461	4453	0	14
2025.03.04	16:45:00	1.87461	1.87493	1.87399	1.87456	3745	0	14
2025.03.04	17:00:00	1.87454	1.87493	1.87379	1.87387	2838	0	14
2025.03.04	17:15:00	1.87386	1.87443	1.87360	1.87408	2755	0	14
2025.03.04	17:30:00	1.87408	1.87478	1.87376	1.87450	2813	0	14
2025.03.04	17:45:00	1.87450	1.87567	1.87427	1.87545	2708	0	14
2025.03.04	18:00:00	1.87547	1.87788	1.87495	1.87754	3621	0	14
2025.03.04	18:15:00	1.87754	1.87970	1.87690	1.87970	3323	0	14
2025.03.04	18:30:00	1.87970	1.88026	1.87934	1.88015	2718	0	14
2025.03.04	18:45:00	1.88014	1.88096	1.87957	1.88070	2685	0	14
2025.03.04	19:00:00	1.88069	1.88124	1.87960	1.87972	4134	0	14
2025.03.04	19:15:00	1.87972	1.88050	1.87960	1.88022	2617	0	14
2025.03.04	19:30:00	1.88022	1.88081	1.87973	1.88078	2831	0	14
2025.03.04	19:45:00	1.88078	1.88085	1.87795	1.87819	2180	0	14
2025.03.04	20:00:00	1.87819	1.87872	1.87787	1.87860	2315	0	14
2025.03.04	20:15:00	1.87860	1.87907	1.87719	1.87721	2995	0	14
2025.03.04	20:30:00	1.87721	1.87827	1.87715	1.87774	3420	0	14
2025.03.04	20:45:00	1.87771	1.87876	1.87742	1.87802	3541	0	14
2025.03.04	21:00:00	1.87806	1.87853	1.87707	1.87727	2427	0	14
2025.03.04	21:15:00	1.87725	1.87831	1.87577	1.87717	3540	0	14
2025.03.04	21:30:00	1.87717	1.87738	1.87492	1.87517	2290	0	14
2025.03.04	21:45:00	1.87517	1.87607	1.87457	1.87547	1168	0	14
2025.03.04	22:00:00	1.87547	1.87639	1.87220	1.87587	288	0	36
2025.03.04	22:15:00	1.87587	1.87617	1.87408	1.87482	163	0	87
2025.03.04	22:30:00	1.87481	1.87507	1.87417	1.87440	572	0	67
2025.03.04	22:45:00	1.87437	1.87683	1.87436	1.87564	875	0	49
2025.03.04	23:00:00	1.87577	1.87682	1.87422	1.87587	723	0	14
2025.03.04	23:15:00	1.87587	1.87647	1.87552	1.87593	1405	0	14
2025.03.04	23:30:00	1.87593	1.87662	1.87554	1.87654	1063	0	14
2025.03.04	23:45:00	1.87654	1.87741	1.87619	1.87657	875	0	14
2025.03.05	00:00:00	1.87657	1.87707	1.87544	1.87621	1791	0	14
2025.03.05	00:15:00	1.87621	1.87767	1.87587	1.87737	1825	0	14
2025.03.05	00:30:00	1.87737	1.88014	1.87717	1.87877	2212	0	14
2025.03.05	00:45:00	1.87878	1.87916	1.87800	1.87877	2027	0	14
2025.03.05	01:00:00	1.87877	1.87877	1.87726	1.87746	2360	0	14
2025.03.05	01:15:00	1.87746	1.87785	1.87588	1.87657	3260	0	14
2025.03.05	01:30:00	1.87654	1.87727	1.87490	1.87567	4200	0	14
2025.03.05	01:45:00	1.87567	1.87774	1.87563	1.87731	2508	0	14
2025.03.05	02:00:00	1.87732	1.87827	1.87627	1.87770	2301	0	14
2025.03.05	02:15:00	1.87768	1.87864	1.87739	1.87841	2581	0	14
2025.03.05	02:30:00	1.87839	1.87930	1.87820	1.87903	2115	0	14
2025.03.05	02:45:00	1.87903	1.87994	1.87878	1.87986	2054	0	14
2025.03.05	03:00:00	1.87986	1.88077	1.87893	1.87903	2635	0	14
2025.03.05	03:15:00	1.87903	1.88026	1.87869	1.87981	2077	0	14
2025.03.05	03:30:00	1.87981	1.88071	1.87958	1.88016	1559	0	14
2025.03.05	03:45:00	1.88016	1.88077	1.87947	1.87973	2702	0	14
2025.03.05	04:00:00	1.87973	1.88044	1.87860	1.87956	1927	0	14
2025.03.05	04:15:00	1.87956	1.87966	1.87877	1.87918	1075	0	14
2025.03.05	04:30:00	1.87918	1.87980	1.87894	1.87975	1102	0	14
2025.03.05	04:45:00	1.87975	1.88056	1.87949	1.88054	1183	0	14
2025.03.05	05:00:00	1.88054	1.88055	1.87962	1.87990	1348	0	14
2025.03.05	05:15:00	1.87990	1.88075	1.87963	1.88067	1258	0	14
2025.03.05	05:30:00	1.88067	1.88170	1.88047	1.88120	1365	0	14
2025.03.05	05:45:00	1.88121	1.88171	1.88099	1.88143	1414	0	14
2025.03.05	06:00:00	1.88143	1.88197	1.87980	1.87993	1797	0	14
2025.03.05	06:15:00	1.87993	1.88009	1.87868	1.87907	1685	0	14
2025.03.05	06:30:00	1.87907	1.87997	1.87907	1.87910	1687	0	14
2025.03.05	06:45:00	1.87909	1.87921	1.87805	1.87921	1689	0	14
2025.03.05	07:00:00	1.87920	1.87971	1.87787	1.87811	3193	0	14
2025.03.05	07:15:00	1.87811	1.87899	1.87753	1.87856	3381	0	14
2025.03.05	07:30:00	1.87856	1.88230	1.87827	1.88193	3691	0	14
2025.03.05	07:45:00	1.88193	1.88370	1.88102	1.88353	4296	0	14
2025.03.05	08:00:00	1.88352	1.88357	1.88137	1.88337	4405	0	14
2025.03.05	08:15:00	1.88337	1.88491	1.88327	1.88478	3737	0	14
2025.03.05	08:30:00	1.88477	1.88479	1.88257	1.88364	3447	0	14
2025.03.05	08:45:00	1.88364	1.88436	1.88317	1.88370	2874	0	14
2025.03.05	09:00:00	1.88370	1.88514	1.88295	1.88337	3699	0	14
2025.03.05	09:15:00	1.88337	1.88567	1.88288	1.88566	3505	0	14
2025.03.05	09:30:00	1.88567	1.88650	1.88510	1.88517	3171	0	14
2025.03.05	09:45:00	1.88517	1.88647	1.88496	1.88587	2475	0	14
2025.03.05	10:00:00	1.88587	1.88646	1.88471	1.88547	2954	0	14
2025.03.05	10:15:00	1.88547	1.88595	1.88262	1.88317	2849	0	14
2025.03.05	10:30:00	1.88317	1.88389	1.88287	1.88299	2132	0	14
2025.03.05	10:45:00	1.88299	1.88326	1.88198	1.88277	2222	0	14
2025.03.05	11:00:00	1.88277	1.88297	1.88051	1.88054	2101	0	14
2025.03.05	11:15:00	1.88054	1.88129	1.87983	1.88047	1778	0	14
2025.03.05	11:30:00	1.88043	1.88101	1.87986	1.87994	2195	0	14
2025.03.05	11:45:00	1.87994	1.88079	1.87956	1.87977	2133	0	14
2025.03.05	12:00:00	1.87977	1.88119	1.87967	1.88069	3167	0	14
2025.03.05	12:15:00	1.88069	1.88162	1.88013	1.88148	2776	0	14
2025.03.05	12:30:00	1.88148	1.88419	1.88112	1.88384	3019	0	14
2025.03.05	12:45:00	1.88384	1.88392	1.88273	1.88324	3394	0	14
2025.03.05	13:00:00	1.88321	1.88423	1.88227	1.88258	4743	0	14
2025.03.05	13:15:00	1.88245	1.88395	1.88135	1.88280	4628	0	14
2025.03.05	13:30:00	1.88282	1.88419	1.88247	1.88311	4428	0	14
2025.03.05	13:45:00	1.88309	1.88437	1.88172	1.88172	5014	0	14
2025.03.05	14:00:00	1.88172	1.88442	1.88167	1.88327	4236	0	14
2025.03.05	14:15:00	1.88327	1.88525	1.88167	1.88507	3930	0	14
2025.03.05	14:30:00	1.88508	1.88655	1.88381	1.88418	5737	0	14
2025.03.05	14:45:00	1.88418	1.88512	1.88377	1.88468	5474	0	14
2025.03.05	15:00:00	1.88477	1.88514	1.88312	1.88397	6375	0	14
2025.03.05	15:15:00	1.88396	1.88586	1.88344	1.88546	6540	0	14
2025.03.05	15:30:00	1.88546	1.88608	1.88358	1.88592	5404	0	14
2025.03.05	15:45:00	1.88592	1.88816	1.88550	1.88813	5179	0	14
2025.03.05	16:00:00	1.88812	1.88913	1.88752	1.88904	4913	0	14
2025.03.05	16:15:00	1.88905	1.88955	1.88805	1.88836	3106	0	14
2025.03.05	16:30:00	1.88826	1.88916	1.88784	1.88799	4297	0	14
2025.03.05	16:45:00	1.88799	1.88840	1.88655	1.88745	4295	0	14
2025.03.05	17:00:00	1.88744	1.88924	1.88660	1.88911	5395	0	14
2025.03.05	17:15:00	1.88916	1.88973	1.88872	1.88882	3573	0	14
2025.03.05	17:30:00	1.88882	1.88884	1.88743	1.88760	3094	0	14
2025.03.05	17:45:00	1.88760	1.88804	1.88668	1.88795	2958	0	14
2025.03.05	18:00:00	1.88795	1.88826	1.88627	1.88666	4474	0	14
2025.03.05	18:15:00	1.88666	1.88730	1.88636	1.88652	2987	0	14
2025.03.05	18:30:00	1.88651	1.88757	1.88644	1.88707	2654	0	14
2025.03.05	18:45:00	1.88707	1.88727	1.88558	1.88606	2389	0	14
2025.03.05	19:00:00	1.88606	1.88608	1.88530	1.88561	2024	0	14
2025.03.05	19:15:00	1.88566	1.88569	1.88480	1.88510	1753	0	14
2025.03.05	19:30:00	1.88511	1.88539	1.88448	1.88449	1904	0	14
2025.03.05	19:45:00	1.88449	1.88458	1.88325	1.88391	2482	0	14
2025.03.05	20:00:00	1.88391	1.88392	1.88328	1.88356	1620	0	14
2025.03.05	20:15:00	1.88358	1.88452	1.88347	1.88450	1686	0	14
2025.03.05	20:30:00	1.88450	1.88528	1.88441	1.88462	1552	0	14
2025.03.05	20:45:00	1.88462	1.88479	1.88310	1.88356	1805	0	14
2025.03.05	21:00:00	1.88354	1.88417	1.88347	1.88373	1199	0	14
2025.03.05	21:15:00	1.88373	1.88379	1.88318	1.88324	833	0	14
2025.03.05	21:30:00	1.88324	1.88364	1.88308	1.88350	729	0	14
2025.03.05	21:45:00	1.88352	1.88426	1.88327	1.88396	1447	0	14
2025.03.05	22:00:00	1.88396	1.88435	1.88037	1.88366	138	0	14
2025.03.05	22:15:00	1.88366	1.88416	1.88341	1.88384	51	0	66
2025.03.05	22:30:00	1.88384	1.88412	1.88356	1.88368	280	0	70
2025.03.05	22:45:00	1.88368	1.88482	1.88366	1.88427	476	0	46
2025.03.05	23:00:00	1.88427	1.88438	1.88240	1.88298	225	0	14
2025.03.05	23:15:00	1.88298	1.88385	1.88293	1.88367	733	0	14
2025.03.05	23:30:00	1.88367	1.88413	1.88349	1.88405	1071	0	15
2025.03.05	23:45:00	1.88405	1.88446	1.88381	1.88444	720	0	14
2025.03.06	00:00:00	1.88444	1.88531	1.88444	1.88475	1104	0	14
2025.03.06	00:15:00	1.88472	1.88591	1.88455	1.88529	1657	0	14
2025.03.06	00:30:00	1.88529	1.88663	1.88515	1.88660	1342	0	14
2025.03.06	00:45:00	1.88660	1.88777	1.88605	1.88688	1658	0	14
2025.03.06	01:00:00	1.88688	1.88688	1.88532	1.88542	2151	0	14
2025.03.06	01:15:00	1.88540	1.88565	1.88436	1.88442	1728	0	14
2025.03.06	01:30:00	1.88443	1.88511	1.88391	1.88448	2323	0	14
2025.03.06	01:45:00	1.88448	1.88518	1.88342	1.88376	2817	0	14
2025.03.06	02:00:00	1.88376	1.88406	1.88222	1.88403	2065	0	14
2025.03.06	02:15:00	1.88404	1.88425	1.88261	1.88325	1813	0	14
2025.03.06	02:30:00	1.88329	1.88495	1.88316	1.88467	1202	0	14
2025.03.06	02:45:00	1.88467	1.88479	1.88362	1.88379	1694	0	14
2025.03.06	03:00:00	1.88379	1.88421	1.88348	1.88395	2195	0	14
2025.03.06	03:15:00	1.88395	1.88399	1.88273	1.88346	1562	0	14
2025.03.06	03:30:00	1.88346	1.88372	1.88262	1.88311	1496	0	14
2025.03.06	03:45:00	1.88312	1.88331	1.88260	1.88287	1728	0	14
2025.03.06	04:00:00	1.88287	1.88287	1.88131	1.88174	1466	0	14
2025.03.06	04:15:00	1.88174	1.88241	1.88164	1.88232	1233	0	14
2025.03.06	04:30:00	1.88236	1.88286	1.88201	1.88279	1250	0	14
2025.03.06	04:45:00	1.88279	1.88281	1.88236	1.88260	1014	0	14
2025.03.06	05:00:00	1.88260	1.88331	1.88246	1.88269	1128	0	14
2025.03.06	05:15:00	1.88269	1.88379	1.88246	1.88366	1535	0	14
2025.03.06	05:30:00	1.88366	1.88449	1.88328	1.88438	1637	0	14
2025.03.06	05:45:00	1.88437	1.88508	1.88421	1.88496	1946	0	14
2025.03.06	06:00:00	1.88496	1.88498	1.88370	1.88437	2457	0	14
2025.03.06	06:15:00	1.88437	1.88506	1.88430	1.88458	1842	0	14
2025.03.06	06:30:00	1.88457	1.88457	1.88376	1.88414	1521	0	14
2025.03.06	06:45:00	1.88414	1.88416	1.88314	1.88336	1989	0	14
2025.03.06	07:00:00	1.88336	1.88393	1.88209	1.88280	3129	0	14
2025.03.06	07:15:00	1.88280	1.88387	1.88229	1.88383	2561	0	14
2025.03.06	07:30:00	1.88383	1.88550	1.88329	1.88527	2652	0	14
2025.03.06	07:45:00	1.88527	1.88588	1.88387	1.88439	3918	0	14
2025.03.06	08:00:00	1.88439	1.88568	1.88407	1.88450	4137	0	14
2025.03.06	08:15:00	1.88450	1.88475	1.88200	1.88247	3936	0	14
2025.03.06	08:30:00	1.88247	1.88267	1.88148	1.88207	2898	0	14
2025.03.06	08:45:00	1.88207	1.88385	1.88207	1.88261	3722	0	14
2025.03.06	09:00:00	1.88262	1.88330	1.88117	1.88147	3690	0	14
2025.03.06	09:15:00	1.88148	1.88331	1.88098	1.88324	3559	0	14
2025.03.06	09:30:00	1.88324	1.88353	1.88172	1.88238	3286	0	14
2025.03.06	09:45:00	1.88238	1.88391	1.88234	1.88327	3146	0	14
2025.03.06	10:00:00	1.88327	1.88336	1.88202	1.88211	2956	0	14
2025.03.06	10:15:00	1.88211	1.88211	1.88088	1.88093	3262	0	14
2025.03.06	10:30:00	1.88092	1.88336	1.88057	1.88279	2257	0	14
2025.03.06	10:45:00	1.88279	1.88290	1.88133	1.88206	2328	0	14
2025.03.06	11:00:00	1.88209	1.88316	1.88139	1.88270	2200	0	14
2025.03.06	11:15:00	1.88270	1.88300	1.88187	1.88214	2481	0	14
2025.03.06	11:30:00	1.88218	1.88347	1.88192	1.88317	2153	0	14
2025.03.06	11:45:00	1.88317	1.88362	1.88195	1.88233	2030	0	14
2025.03.06	12:00:00	1.88233	1.88269	1.88184	1.88262	2184	0	14
2025.03.06	12:15:00	1.88264	1.88306	1.88202	1.88271	2017	0	14
2025.03.06	12:30:00	1.88271	1.88313	1.88198	1.88238	2626	0	14
